product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
111009,Wedding Ring Confident Impulse 5 mm,wedding_ring,gwd-h10029-5,1311.000000,589.000000,3110.000000,1,5247,wood_&_carbon,688,Wedding Rings,glgb,False
102473,Women's Bracelet Roxana,bracelet,WBCL-045,395.000000,284.000000,3018.000000,1,5168,chain_bracelet,624,Bracelets,glgb,women
90733,GLAMIRA Ring Mindy,ring,RM6,556.000000,393.000000,4344.000000,1,1289,heart,27,Rings,glgb,women
110340,GLAMIRA Natural Pendant H,pendant,Natural-H,294.000000,271.000000,566.000000,1,4574,initials,601,Necklaces,glgb,False
96296,Women's ring Bright Jewel 8 mm,wedding_ring,GWD-T120906-8W,1068.000000,295.000000,11082.000000,1,4090,twinset,0,,glgb,women
109680,Women's Pendant Polona,pendant,polona,236.000000,165.000000,29234.000000,1,4378,fashion,601,Necklaces,glgb,women
107810,Men's Wedding Ring Bright Start 5 mm,wedding_ring,GWD-L-6500-5-M,567.000000,226.000000,5692.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
101508,Women's Earring Epifania 18 mm,earring,EPIFANIA-18M,526.000000,378.000000,5732.000000,1,5474,huggies_&_hoops,602,Earrings,glgb,women
107787,Men's Wedding Ring Adore Night 6 mm,wedding_ring,GWD-L-5800-6-M,669.000000,267.000000,6717.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
102983,GLAMIRA Nose Pin Ingelise,nose_pin,NSP-081,88.000000,72.000000,728.000000,1,,,745,Nose Pins,glgb,False
95218,Engagement Ring Céline 3.0 crt,ring,Celine-3.0crt,749.000000,509.000000,158996.000000,1,5170,design_solitaire,605,Engagement Rings,glgb,women
97515,Kid's Necklace Nashi,necklace,EPK-32,279.000000,272.000000,2421.000000,1,5157,symbols,61,Necklaces,glgb,False
101205,Men's Ring Brilliant Dream 8 mm,wedding_ring,GWD-W1004-8-M,1294.000000,582.000000,9996.000000,1,4297,exclusive,0,,glgb,men
88660,Men's Wedding Ring Mystic Origin,wedding_ring,ANT172,937.000000,421.000000,1920.000000,1,4291,vintage,690,Men’s Wedding Rings,glgb,men
